sign,class,ordinal,gt_path,prediction_path,left_evaluated,right_evaluated
Akzeptieren,~0,5,data/smplx_gt/Akzeptieren/00268.obj,outputs/method_hamer/Akzeptieren/smplifyx/meshes/low_134.obj,True,True
Akzeptieren,~0,6,data/smplx_gt/Akzeptieren/00272.obj,outputs/method_hamer/Akzeptieren/smplifyx/meshes/low_136.obj,True,True
Akzeptieren,~0,7,data/smplx_gt/Akzeptieren/00276.obj,outputs/method_hamer/Akzeptieren/smplifyx/meshes/low_138.obj,True,True
Akzeptieren,~0,8,data/smplx_gt/Akzeptieren/00280.obj,outputs/method_hamer/Akzeptieren/smplifyx/meshes/low_140.obj,True,True
Akzeptieren,~0,9,data/smplx_gt/Akzeptieren/00284.obj,outputs/method_hamer/Akzeptieren/smplifyx/meshes/low_142.obj,True,True
Akzeptieren,~0,10,data/smplx_gt/Akzeptieren/00288.obj,outputs/method_hamer/Akzeptieren/smplifyx/meshes/low_144.obj,True,True
Akzeptieren,~0,11,data/smplx_gt/Akzeptieren/00292.obj,outputs/method_hamer/Akzeptieren/smplifyx/meshes/low_146.obj,True,True
Akzeptieren,~0,12,data/smplx_gt/Akzeptieren/00296.obj,outputs/method_hamer/Akzeptieren/smplifyx/meshes/low_148.obj,True,True
Akzeptieren,~0,13,data/smplx_gt/Akzeptieren/00300.obj,outputs/method_hamer/Akzeptieren/smplifyx/meshes/low_150.obj,True,True
Akzeptieren,~0,14,data/smplx_gt/Akzeptieren/00304.obj,outputs/method_hamer/Akzeptieren/smplifyx/meshes/low_152.obj,True,True
Akzeptieren,~0,15,data/smplx_gt/Akzeptieren/00308.obj,outputs/method_hamer/Akzeptieren/smplifyx/meshes/low_154.obj,True,True
Akzeptieren,~0,16,data/smplx_gt/Akzeptieren/00312.obj,outputs/method_hamer/Akzeptieren/smplifyx/meshes/low_156.obj,True,True
Akzeptieren,~0,17,data/smplx_gt/Akzeptieren/00316.obj,outputs/method_hamer/Akzeptieren/smplifyx/meshes/low_158.obj,True,True
Akzeptieren,~0,18,data/smplx_gt/Akzeptieren/00320.obj,outputs/method_hamer/Akzeptieren/smplifyx/meshes/low_160.obj,True,True
Akzeptieren,~0,19,data/smplx_gt/Akzeptieren/00324.obj,outputs/method_hamer/Akzeptieren/smplifyx/meshes/low_162.obj,True,True
Akzeptieren,~0,20,data/smplx_gt/Akzeptieren/00328.obj,outputs/method_hamer/Akzeptieren/smplifyx/meshes/low_164.obj,True,True
Akzeptieren,~0,21,data/smplx_gt/Akzeptieren/00332.obj,outputs/method_hamer/Akzeptieren/smplifyx/meshes/low_166.obj,True,True
Akzeptieren,~0,22,data/smplx_gt/Akzeptieren/00336.obj,outputs/method_hamer/Akzeptieren/smplifyx/meshes/low_168.obj,True,True
Akzeptieren,~0,23,data/smplx_gt/Akzeptieren/00340.obj,outputs/method_hamer/Akzeptieren/smplifyx/meshes/low_170.obj,True,True
Akzeptieren,~0,24,data/smplx_gt/Akzeptieren/00344.obj,outputs/method_hamer/Akzeptieren/smplifyx/meshes/low_172.obj,True,True
Akzeptieren,~0,25,data/smplx_gt/Akzeptieren/00348.obj,outputs/method_hamer/Akzeptieren/smplifyx/meshes/low_174.obj,True,True
Akzeptieren,~0,26,data/smplx_gt/Akzeptieren/00352.obj,outputs/method_hamer/Akzeptieren/smplifyx/meshes/low_176.obj,True,True
Akzeptieren,~0,27,data/smplx_gt/Akzeptieren/00356.obj,outputs/method_hamer/Akzeptieren/smplifyx/meshes/low_178.obj,True,True
Akzeptieren,~0,28,data/smplx_gt/Akzeptieren/00360.obj,outputs/method_hamer/Akzeptieren/smplifyx/meshes/low_180.obj,True,True
Akzeptieren,~0,29,data/smplx_gt/Akzeptieren/00364.obj,outputs/method_hamer/Akzeptieren/smplifyx/meshes/low_182.obj,True,True
Akzeptieren,~0,30,data/smplx_gt/Akzeptieren/00368.obj,outputs/method_hamer/Akzeptieren/smplifyx/meshes/low_184.obj,True,True
Arzt,~0,0,data/smplx_gt/Arzt/00332.obj,outputs/method_hamer/Arzt/smplifyx/meshes/low_166.obj,True,True
Arzt,~0,1,data/smplx_gt/Arzt/00336.obj,outputs/method_hamer/Arzt/smplifyx/meshes/low_168.obj,True,True
Arzt,~0,2,data/smplx_gt/Arzt/00340.obj,outputs/method_hamer/Arzt/smplifyx/meshes/low_170.obj,True,True
Arzt,~0,3,data/smplx_gt/Arzt/00344.obj,outputs/method_hamer/Arzt/smplifyx/meshes/low_172.obj,True,True
Arzt,~0,4,data/smplx_gt/Arzt/00348.obj,outputs/method_hamer/Arzt/smplifyx/meshes/low_174.obj,True,True
Arzt,~0,5,data/smplx_gt/Arzt/00352.obj,outputs/method_hamer/Arzt/smplifyx/meshes/low_176.obj,True,True
Arzt,~0,6,data/smplx_gt/Arzt/00356.obj,outputs/method_hamer/Arzt/smplifyx/meshes/low_178.obj,True,True
Arzt,~0,7,data/smplx_gt/Arzt/00360.obj,outputs/method_hamer/Arzt/smplifyx/meshes/low_180.obj,True,True
Arzt,~0,8,data/smplx_gt/Arzt/00364.obj,outputs/method_hamer/Arzt/smplifyx/meshes/low_182.obj,True,True
Arzt,~0,9,data/smplx_gt/Arzt/00368.obj,outputs/method_hamer/Arzt/smplifyx/meshes/low_184.obj,True,True
Arzt,~0,10,data/smplx_gt/Arzt/00372.obj,outputs/method_hamer/Arzt/smplifyx/meshes/low_186.obj,True,True
Arzt,~0,11,data/smplx_gt/Arzt/00376.obj,outputs/method_hamer/Arzt/smplifyx/meshes/low_188.obj,True,True
Arzt,~0,12,data/smplx_gt/Arzt/00380.obj,outputs/method_hamer/Arzt/smplifyx/meshes/low_190.obj,True,True
Arzt,~0,13,data/smplx_gt/Arzt/00384.obj,outputs/method_hamer/Arzt/smplifyx/meshes/low_192.obj,True,True
Arzt,~0,14,data/smplx_gt/Arzt/00388.obj,outputs/method_hamer/Arzt/smplifyx/meshes/low_194.obj,True,True
Arzt,~0,15,data/smplx_gt/Arzt/00392.obj,outputs/method_hamer/Arzt/smplifyx/meshes/low_196.obj,True,True
Arzt,~0,16,data/smplx_gt/Arzt/00396.obj,outputs/method_hamer/Arzt/smplifyx/meshes/low_198.obj,True,True
Arzt,~0,17,data/smplx_gt/Arzt/00400.obj,outputs/method_hamer/Arzt/smplifyx/meshes/low_200.obj,True,True
Arzt,~0,18,data/smplx_gt/Arzt/00404.obj,outputs/method_hamer/Arzt/smplifyx/meshes/low_202.obj,True,True
Arzt,~0,19,data/smplx_gt/Arzt/00408.obj,outputs/method_hamer/Arzt/smplifyx/meshes/low_204.obj,True,True
Arzt,~0,20,data/smplx_gt/Arzt/00412.obj,outputs/method_hamer/Arzt/smplifyx/meshes/low_206.obj,True,True
AufgebenResignieren,~0,0,data/smplx_gt/AufgebenResignieren/00244.obj,outputs/method_hamer/AufgebenResignieren/smplifyx/meshes/low_122.obj,True,True
AufgebenResignieren,~0,1,data/smplx_gt/AufgebenResignieren/00248.obj,outputs/method_hamer/AufgebenResignieren/smplifyx/meshes/low_124.obj,True,True
AufgebenResignieren,~0,2,data/smplx_gt/AufgebenResignieren/00252.obj,outputs/method_hamer/AufgebenResignieren/smplifyx/meshes/low_126.obj,True,True
AufgebenResignieren,~0,3,data/smplx_gt/AufgebenResignieren/00256.obj,outputs/method_hamer/AufgebenResignieren/smplifyx/meshes/low_128.obj,True,True
AufgebenResignieren,~0,4,data/smplx_gt/AufgebenResignieren/00260.obj,outputs/method_hamer/AufgebenResignieren/smplifyx/meshes/low_130.obj,True,True
AufgebenResignieren,~0,5,data/smplx_gt/AufgebenResignieren/00264.obj,outputs/method_hamer/AufgebenResignieren/smplifyx/meshes/low_132.obj,True,True
AufgebenResignieren,~0,6,data/smplx_gt/AufgebenResignieren/00268.obj,outputs/method_hamer/AufgebenResignieren/smplifyx/meshes/low_134.obj,True,True
AufgebenResignieren,~0,7,data/smplx_gt/AufgebenResignieren/00272.obj,outputs/method_hamer/AufgebenResignieren/smplifyx/meshes/low_136.obj,True,True
AufgebenResignieren,~0,8,data/smplx_gt/AufgebenResignieren/00276.obj,outputs/method_hamer/AufgebenResignieren/smplifyx/meshes/low_138.obj,True,True
AufgebenResignieren,~0,9,data/smplx_gt/AufgebenResignieren/00280.obj,outputs/method_hamer/AufgebenResignieren/smplifyx/meshes/low_140.obj,True,True
AufgebenResignieren,~0,10,data/smplx_gt/AufgebenResignieren/00284.obj,outputs/method_hamer/AufgebenResignieren/smplifyx/meshes/low_142.obj,True,True
AufgebenResignieren,~0,11,data/smplx_gt/AufgebenResignieren/00288.obj,outputs/method_hamer/AufgebenResignieren/smplifyx/meshes/low_144.obj,True,True
AufgebenResignieren,~0,12,data/smplx_gt/AufgebenResignieren/00292.obj,outputs/method_hamer/AufgebenResignieren/smplifyx/meshes/low_146.obj,True,True
AufgebenResignieren,~0,13,data/smplx_gt/AufgebenResignieren/00296.obj,outputs/method_hamer/AufgebenResignieren/smplifyx/meshes/low_148.obj,True,True
AufgebenResignieren,~0,14,data/smplx_gt/AufgebenResignieren/00300.obj,outputs/method_hamer/AufgebenResignieren/smplifyx/meshes/low_150.obj,True,True
AufgebenResignieren,~0,15,data/smplx_gt/AufgebenResignieren/00304.obj,outputs/method_hamer/AufgebenResignieren/smplifyx/meshes/low_152.obj,True,True
AufgebenResignieren,~0,16,data/smplx_gt/AufgebenResignieren/00308.obj,outputs/method_hamer/AufgebenResignieren/smplifyx/meshes/low_154.obj,True,True
AufgebenResignieren,~0,17,data/smplx_gt/AufgebenResignieren/00312.obj,outputs/method_hamer/AufgebenResignieren/smplifyx/meshes/low_156.obj,True,True
AufgebenResignieren,~0,18,data/smplx_gt/AufgebenResignieren/00316.obj,outputs/method_hamer/AufgebenResignieren/smplifyx/meshes/low_158.obj,True,True
AufgebenResignieren,~0,19,data/smplx_gt/AufgebenResignieren/00320.obj,outputs/method_hamer/AufgebenResignieren/smplifyx/meshes/low_160.obj,True,True
AufgebenResignieren,~0,20,data/smplx_gt/AufgebenResignieren/00324.obj,outputs/method_hamer/AufgebenResignieren/smplifyx/meshes/low_162.obj,True,True
AufgebenResignieren,~0,21,data/smplx_gt/AufgebenResignieren/00328.obj,outputs/method_hamer/AufgebenResignieren/smplifyx/meshes/low_164.obj,True,True
AufgebenResignieren,~0,22,data/smplx_gt/AufgebenResignieren/00332.obj,outputs/method_hamer/AufgebenResignieren/smplifyx/meshes/low_166.obj,True,True
AufgebenResignieren,~0,23,data/smplx_gt/AufgebenResignieren/00336.obj,outputs/method_hamer/AufgebenResignieren/smplifyx/meshes/low_168.obj,True,True
AufgebenResignieren,~0,24,data/smplx_gt/AufgebenResignieren/00340.obj,outputs/method_hamer/AufgebenResignieren/smplifyx/meshes/low_170.obj,True,True
AufgebenResignieren,~0,25,data/smplx_gt/AufgebenResignieren/00344.obj,outputs/method_hamer/AufgebenResignieren/smplifyx/meshes/low_172.obj,True,True
AufgebenResignieren,~0,26,data/smplx_gt/AufgebenResignieren/00348.obj,outputs/method_hamer/AufgebenResignieren/smplifyx/meshes/low_174.obj,True,True
AufgebenResignieren,~0,27,data/smplx_gt/AufgebenResignieren/00352.obj,outputs/method_hamer/AufgebenResignieren/smplifyx/meshes/low_176.obj,True,True
AufgebenResignieren,~0,28,data/smplx_gt/AufgebenResignieren/00356.obj,outputs/method_hamer/AufgebenResignieren/smplifyx/meshes/low_178.obj,True,True
AufgebenResignieren,~0,29,data/smplx_gt/AufgebenResignieren/00360.obj,outputs/method_hamer/AufgebenResignieren/smplifyx/meshes/low_180.obj,True,True
AufgebenResignieren,~0,30,data/smplx_gt/AufgebenResignieren/00364.obj,outputs/method_hamer/AufgebenResignieren/smplifyx/meshes/low_182.obj,True,True
AufgebenResignieren,~0,31,data/smplx_gt/AufgebenResignieren/00368.obj,outputs/method_hamer/AufgebenResignieren/smplifyx/meshes/low_184.obj,True,True
AufgebenResignieren,~0,32,data/smplx_gt/AufgebenResignieren/00372.obj,outputs/method_hamer/AufgebenResignieren/smplifyx/meshes/low_186.obj,True,True
AufgebenResignieren,~0,33,data/smplx_gt/AufgebenResignieren/00376.obj,outputs/method_hamer/AufgebenResignieren/smplifyx/meshes/low_188.obj,True,True
AusgebenGeldVerschwenden,~0,0,data/smplx_gt/AusgebenGeldVerschwenden/00240.obj,outputs/method_hamer/AusgebenGeldVerschwenden/smplifyx/meshes/low_120.obj,True,True
AusgebenGeldVerschwenden,~0,1,data/smplx_gt/AusgebenGeldVerschwenden/00244.obj,outputs/method_hamer/AusgebenGeldVerschwenden/smplifyx/meshes/low_122.obj,True,True
AusgebenGeldVerschwenden,~0,2,data/smplx_gt/AusgebenGeldVerschwenden/00248.obj,outputs/method_hamer/AusgebenGeldVerschwenden/smplifyx/meshes/low_124.obj,True,True
AusgebenGeldVerschwenden,~0,3,data/smplx_gt/AusgebenGeldVerschwenden/00252.obj,outputs/method_hamer/AusgebenGeldVerschwenden/smplifyx/meshes/low_126.obj,True,True
AusgebenGeldVerschwenden,~0,4,data/smplx_gt/AusgebenGeldVerschwenden/00256.obj,outputs/method_hamer/AusgebenGeldVerschwenden/smplifyx/meshes/low_128.obj,True,True
AusgebenGeldVerschwenden,~0,5,data/smplx_gt/AusgebenGeldVerschwenden/00260.obj,outputs/method_hamer/AusgebenGeldVerschwenden/smplifyx/meshes/low_130.obj,True,True
AusgebenGeldVerschwenden,~0,6,data/smplx_gt/AusgebenGeldVerschwenden/00264.obj,outputs/method_hamer/AusgebenGeldVerschwenden/smplifyx/meshes/low_132.obj,True,True
AusgebenGeldVerschwenden,~0,7,data/smplx_gt/AusgebenGeldVerschwenden/00268.obj,outputs/method_hamer/AusgebenGeldVerschwenden/smplifyx/meshes/low_134.obj,True,True
AusgebenGeldVerschwenden,~0,8,data/smplx_gt/AusgebenGeldVerschwenden/00272.obj,outputs/method_hamer/AusgebenGeldVerschwenden/smplifyx/meshes/low_136.obj,True,True
AusgebenGeldVerschwenden,~0,9,data/smplx_gt/AusgebenGeldVerschwenden/00276.obj,outputs/method_hamer/AusgebenGeldVerschwenden/smplifyx/meshes/low_138.obj,True,True
AusgebenGeldVerschwenden,~0,10,data/smplx_gt/AusgebenGeldVerschwenden/00280.obj,outputs/method_hamer/AusgebenGeldVerschwenden/smplifyx/meshes/low_140.obj,True,True
AusgebenGeldVerschwenden,~0,11,data/smplx_gt/AusgebenGeldVerschwenden/00284.obj,outputs/method_hamer/AusgebenGeldVerschwenden/smplifyx/meshes/low_142.obj,True,True
AusgebenGeldVerschwenden,~0,12,data/smplx_gt/AusgebenGeldVerschwenden/00288.obj,outputs/method_hamer/AusgebenGeldVerschwenden/smplifyx/meshes/low_144.obj,True,True
AusgebenGeldVerschwenden,~0,13,data/smplx_gt/AusgebenGeldVerschwenden/00292.obj,outputs/method_hamer/AusgebenGeldVerschwenden/smplifyx/meshes/low_146.obj,True,True
AusgebenGeldVerschwenden,~0,14,data/smplx_gt/AusgebenGeldVerschwenden/00296.obj,outputs/method_hamer/AusgebenGeldVerschwenden/smplifyx/meshes/low_148.obj,True,True
AusgebenGeldVerschwenden,~0,15,data/smplx_gt/AusgebenGeldVerschwenden/00300.obj,outputs/method_hamer/AusgebenGeldVerschwenden/smplifyx/meshes/low_150.obj,True,True
AusgebenGeldVerschwenden,~0,16,data/smplx_gt/AusgebenGeldVerschwenden/00304.obj,outputs/method_hamer/AusgebenGeldVerschwenden/smplifyx/meshes/low_152.obj,True,True
AusgebenGeldVerschwenden,~0,17,data/smplx_gt/AusgebenGeldVerschwenden/00308.obj,outputs/method_hamer/AusgebenGeldVerschwenden/smplifyx/meshes/low_154.obj,True,True
AusgebenGeldVerschwenden,~0,18,data/smplx_gt/AusgebenGeldVerschwenden/00312.obj,outputs/method_hamer/AusgebenGeldVerschwenden/smplifyx/meshes/low_156.obj,True,True
Auto,~0,0,data/smplx_gt/Auto/00208.obj,outputs/method_hamer/Auto/smplifyx/meshes/low_104.obj,True,True
Auto,~0,1,data/smplx_gt/Auto/00212.obj,outputs/method_hamer/Auto/smplifyx/meshes/low_106.obj,True,True
Auto,~0,2,data/smplx_gt/Auto/00216.obj,outputs/method_hamer/Auto/smplifyx/meshes/low_108.obj,True,True
Auto,~0,3,data/smplx_gt/Auto/00220.obj,outputs/method_hamer/Auto/smplifyx/meshes/low_110.obj,True,True
Auto,~0,4,data/smplx_gt/Auto/00224.obj,outputs/method_hamer/Auto/smplifyx/meshes/low_112.obj,True,True
Auto,~0,5,data/smplx_gt/Auto/00228.obj,outputs/method_hamer/Auto/smplifyx/meshes/low_114.obj,True,True
Auto,~0,6,data/smplx_gt/Auto/00232.obj,outputs/method_hamer/Auto/smplifyx/meshes/low_116.obj,True,True
Auto,~0,7,data/smplx_gt/Auto/00236.obj,outputs/method_hamer/Auto/smplifyx/meshes/low_118.obj,True,True
Auto,~0,8,data/smplx_gt/Auto/00240.obj,outputs/method_hamer/Auto/smplifyx/meshes/low_120.obj,True,True
Auto,~0,9,data/smplx_gt/Auto/00244.obj,outputs/method_hamer/Auto/smplifyx/meshes/low_122.obj,True,True
Auto,~0,10,data/smplx_gt/Auto/00248.obj,outputs/method_hamer/Auto/smplifyx/meshes/low_124.obj,True,True
Auto,~0,11,data/smplx_gt/Auto/00252.obj,outputs/method_hamer/Auto/smplifyx/meshes/low_126.obj,True,True
Auto,~0,12,data/smplx_gt/Auto/00256.obj,outputs/method_hamer/Auto/smplifyx/meshes/low_128.obj,True,True
Auto,~0,13,data/smplx_gt/Auto/00260.obj,outputs/method_hamer/Auto/smplifyx/meshes/low_130.obj,True,True
Auto,~0,14,data/smplx_gt/Auto/00264.obj,outputs/method_hamer/Auto/smplifyx/meshes/low_132.obj,True,True
Auto,~0,15,data/smplx_gt/Auto/00268.obj,outputs/method_hamer/Auto/smplifyx/meshes/low_134.obj,True,True
Auto,~0,16,data/smplx_gt/Auto/00272.obj,outputs/method_hamer/Auto/smplifyx/meshes/low_136.obj,True,True
Auto,~0,17,data/smplx_gt/Auto/00276.obj,outputs/method_hamer/Auto/smplifyx/meshes/low_138.obj,True,True
Auto,~0,18,data/smplx_gt/Auto/00280.obj,outputs/method_hamer/Auto/smplifyx/meshes/low_140.obj,True,True
Auto,~0,19,data/smplx_gt/Auto/00284.obj,outputs/method_hamer/Auto/smplifyx/meshes/low_142.obj,True,True
Auto,~0,20,data/smplx_gt/Auto/00288.obj,outputs/method_hamer/Auto/smplifyx/meshes/low_144.obj,True,True
Auto,~0,21,data/smplx_gt/Auto/00292.obj,outputs/method_hamer/Auto/smplifyx/meshes/low_146.obj,True,True
Auto,~0,22,data/smplx_gt/Auto/00296.obj,outputs/method_hamer/Auto/smplifyx/meshes/low_148.obj,True,True
Auto,~0,23,data/smplx_gt/Auto/00300.obj,outputs/method_hamer/Auto/smplifyx/meshes/low_150.obj,True,True
Auto,~0,24,data/smplx_gt/Auto/00304.obj,outputs/method_hamer/Auto/smplifyx/meshes/low_152.obj,True,True
Auto,~0,25,data/smplx_gt/Auto/00308.obj,outputs/method_hamer/Auto/smplifyx/meshes/low_154.obj,True,True
Auto,~0,26,data/smplx_gt/Auto/00312.obj,outputs/method_hamer/Auto/smplifyx/meshes/low_156.obj,True,True
Auto,~0,27,data/smplx_gt/Auto/00316.obj,outputs/method_hamer/Auto/smplifyx/meshes/low_158.obj,True,True
Auto,~0,28,data/smplx_gt/Auto/00320.obj,outputs/method_hamer/Auto/smplifyx/meshes/low_160.obj,True,True
Auto,~0,29,data/smplx_gt/Auto/00324.obj,outputs/method_hamer/Auto/smplifyx/meshes/low_162.obj,True,True
Auto,~0,30,data/smplx_gt/Auto/00328.obj,outputs/method_hamer/Auto/smplifyx/meshes/low_164.obj,True,True
Auto,~0,31,data/smplx_gt/Auto/00332.obj,outputs/method_hamer/Auto/smplifyx/meshes/low_166.obj,True,True
Auto,~0,32,data/smplx_gt/Auto/00336.obj,outputs/method_hamer/Auto/smplifyx/meshes/low_168.obj,True,True
Auto,~0,33,data/smplx_gt/Auto/00340.obj,outputs/method_hamer/Auto/smplifyx/meshes/low_170.obj,True,True
Auto,~0,34,data/smplx_gt/Auto/00344.obj,outputs/method_hamer/Auto/smplifyx/meshes/low_172.obj,True,True
BesuchenEinmischen,~0,0,data/smplx_gt/BesuchenEinmischen/00344.obj,outputs/method_hamer/BesuchenEinmischen/smplifyx/meshes/low_172.obj,True,True
BesuchenEinmischen,~0,1,data/smplx_gt/BesuchenEinmischen/00348.obj,outputs/method_hamer/BesuchenEinmischen/smplifyx/meshes/low_174.obj,True,True
BesuchenEinmischen,~0,2,data/smplx_gt/BesuchenEinmischen/00352.obj,outputs/method_hamer/BesuchenEinmischen/smplifyx/meshes/low_176.obj,True,True
BesuchenEinmischen,~0,3,data/smplx_gt/BesuchenEinmischen/00356.obj,outputs/method_hamer/BesuchenEinmischen/smplifyx/meshes/low_178.obj,True,True
BesuchenEinmischen,~0,4,data/smplx_gt/BesuchenEinmischen/00360.obj,outputs/method_hamer/BesuchenEinmischen/smplifyx/meshes/low_180.obj,True,True
BesuchenEinmischen,~0,5,data/smplx_gt/BesuchenEinmischen/00364.obj,outputs/method_hamer/BesuchenEinmischen/smplifyx/meshes/low_182.obj,True,True
BesuchenEinmischen,~0,6,data/smplx_gt/BesuchenEinmischen/00368.obj,outputs/method_hamer/BesuchenEinmischen/smplifyx/meshes/low_184.obj,True,True
BesuchenEinmischen,~0,7,data/smplx_gt/BesuchenEinmischen/00372.obj,outputs/method_hamer/BesuchenEinmischen/smplifyx/meshes/low_186.obj,True,True
BesuchenEinmischen,~0,8,data/smplx_gt/BesuchenEinmischen/00376.obj,outputs/method_hamer/BesuchenEinmischen/smplifyx/meshes/low_188.obj,True,True
BesuchenEinmischen,~0,9,data/smplx_gt/BesuchenEinmischen/00380.obj,outputs/method_hamer/BesuchenEinmischen/smplifyx/meshes/low_190.obj,True,True
BesuchenEinmischen,~0,10,data/smplx_gt/BesuchenEinmischen/00384.obj,outputs/method_hamer/BesuchenEinmischen/smplifyx/meshes/low_192.obj,True,True
BesuchenEinmischen,~0,11,data/smplx_gt/BesuchenEinmischen/00388.obj,outputs/method_hamer/BesuchenEinmischen/smplifyx/meshes/low_194.obj,True,True
BesuchenEinmischen,~0,12,data/smplx_gt/BesuchenEinmischen/00392.obj,outputs/method_hamer/BesuchenEinmischen/smplifyx/meshes/low_196.obj,True,True
BesuchenEinmischen,~0,13,data/smplx_gt/BesuchenEinmischen/00396.obj,outputs/method_hamer/BesuchenEinmischen/smplifyx/meshes/low_198.obj,True,True
BesuchenEinmischen,~0,14,data/smplx_gt/BesuchenEinmischen/00400.obj,outputs/method_hamer/BesuchenEinmischen/smplifyx/meshes/low_200.obj,True,True
BesuchenEinmischen,~0,15,data/smplx_gt/BesuchenEinmischen/00404.obj,outputs/method_hamer/BesuchenEinmischen/smplifyx/meshes/low_202.obj,True,True
BesuchenEinmischen,~0,16,data/smplx_gt/BesuchenEinmischen/00408.obj,outputs/method_hamer/BesuchenEinmischen/smplifyx/meshes/low_204.obj,True,True
BesuchenEinmischen,~0,17,data/smplx_gt/BesuchenEinmischen/00412.obj,outputs/method_hamer/BesuchenEinmischen/smplifyx/meshes/low_206.obj,True,True
BesuchenEinmischen,~0,18,data/smplx_gt/BesuchenEinmischen/00416.obj,outputs/method_hamer/BesuchenEinmischen/smplifyx/meshes/low_208.obj,True,True
Blitz,0,0,data/smplx_gt/Blitz/00262.obj,outputs/method_hamer/Blitz/smplifyx/meshes/low_131.obj,False,True
Blitz,0,1,data/smplx_gt/Blitz/00266.obj,outputs/method_hamer/Blitz/smplifyx/meshes/low_133.obj,False,True
Blitz,0,2,data/smplx_gt/Blitz/00270.obj,outputs/method_hamer/Blitz/smplifyx/meshes/low_135.obj,False,True
Blitz,0,3,data/smplx_gt/Blitz/00274.obj,outputs/method_hamer/Blitz/smplifyx/meshes/low_137.obj,False,True
Blitz,0,4,data/smplx_gt/Blitz/00278.obj,outputs/method_hamer/Blitz/smplifyx/meshes/low_139.obj,False,True
Blitz,0,5,data/smplx_gt/Blitz/00282.obj,outputs/method_hamer/Blitz/smplifyx/meshes/low_141.obj,False,True
Blitz,0,6,data/smplx_gt/Blitz/00286.obj,outputs/method_hamer/Blitz/smplifyx/meshes/low_143.obj,False,True
Blitz,0,7,data/smplx_gt/Blitz/00290.obj,outputs/method_hamer/Blitz/smplifyx/meshes/low_145.obj,False,True
Blitz,0,8,data/smplx_gt/Blitz/00294.obj,outputs/method_hamer/Blitz/smplifyx/meshes/low_147.obj,False,True
Blitz,0,9,data/smplx_gt/Blitz/00298.obj,outputs/method_hamer/Blitz/smplifyx/meshes/low_149.obj,False,True
Blitz,0,10,data/smplx_gt/Blitz/00302.obj,outputs/method_hamer/Blitz/smplifyx/meshes/low_151.obj,False,True
Blitz,0,11,data/smplx_gt/Blitz/00306.obj,outputs/method_hamer/Blitz/smplifyx/meshes/low_153.obj,False,True
